1729950878.597944758: PING 192.168.6.21 (192.168.6.21) 56(84) bytes of data.
1729950899.840275709: 64 bytes from 192.168.6.21: icmp_seq=212 ttl=63 time=11.5 ms
1729950899.937684831: 64 bytes from 192.168.6.21: icmp_seq=213 ttl=63 time=8.23 ms
1729950900.041913601: 64 bytes from 192.168.6.21: icmp_seq=214 ttl=63 time=11.0 ms
1729950900.141431278: 64 bytes from 192.168.6.21: icmp_seq=215 ttl=63 time=10.3 ms
1729950900.243437824: 64 bytes from 192.168.6.21: icmp_seq=216 ttl=63 time=12.3 ms
1729950900.345577533: 64 bytes from 192.168.6.21: icmp_seq=217 ttl=63 time=13.6 ms
1729950900.446249232: 64 bytes from 192.168.6.21: icmp_seq=218 ttl=63 time=13.3 ms
1729950900.547649389: 64 bytes from 192.168.6.21: icmp_seq=219 ttl=63 time=14.1 ms
1729950900.641491309: 64 bytes from 192.168.6.21: icmp_seq=220 ttl=63 time=8.02 ms
1729950900.737598415: 64 bytes from 192.168.6.21: icmp_seq=221 ttl=63 time=3.67 ms
1729950900.838934815: 64 bytes from 192.168.6.21: icmp_seq=222 ttl=63 time=4.08 ms
1729950900.938762300: 64 bytes from 192.168.6.21: icmp_seq=223 ttl=63 time=3.58 ms
1729950901.040962511: 64 bytes from 192.168.6.21: icmp_seq=224 ttl=63 time=4.91 ms
1729950901.139485343: 64 bytes from 192.168.6.21: icmp_seq=225 ttl=63 time=3.07 ms
1729950901.239839087: 64 bytes from 192.168.6.21: icmp_seq=226 ttl=63 time=3.54 ms
1729950901.340925322: 64 bytes from 192.168.6.21: icmp_seq=227 ttl=63 time=3.55 ms
1729950901.440716178: 64 bytes from 192.168.6.21: icmp_seq=228 ttl=63 time=2.74 ms
1729950901.543843077: 64 bytes from 192.168.6.21: icmp_seq=229 ttl=63 time=4.44 ms
1729950901.642587642: 64 bytes from 192.168.6.21: icmp_seq=230 ttl=63 time=2.98 ms
1729950901.743817617: 64 bytes from 192.168.6.21: icmp_seq=231 ttl=63 time=4.11 ms
1729950901.844039752: 64 bytes from 192.168.6.21: icmp_seq=232 ttl=63 time=3.65 ms
1729950901.944758629: 64 bytes from 192.168.6.21: icmp_seq=233 ttl=63 time=3.27 ms
1729950902.046842575: 64 bytes from 192.168.6.21: icmp_seq=234 ttl=63 time=5.35 ms
1729950902.147697583: 64 bytes from 192.168.6.21: icmp_seq=235 ttl=63 time=5.06 ms
1729950902.247340336: 64 bytes from 192.168.6.21: icmp_seq=236 ttl=63 time=4.95 ms
1729950902.349106752: 64 bytes from 192.168.6.21: icmp_seq=237 ttl=63 time=6.11 ms
1729950902.448179243: 64 bytes from 192.168.6.21: icmp_seq=238 ttl=63 time=5.00 ms
1729950902.549332845: 64 bytes from 192.168.6.21: icmp_seq=239 ttl=63 time=5.76 ms
1729950902.649023735: 64 bytes from 192.168.6.21: icmp_seq=240 ttl=63 time=3.86 ms
1729950902.751532827: 64 bytes from 192.168.6.21: icmp_seq=241 ttl=63 time=5.26 ms
1729950902.849785695: 64 bytes from 192.168.6.21: icmp_seq=242 ttl=63 time=3.36 ms
1729950902.953377885: 64 bytes from 192.168.6.21: icmp_seq=243 ttl=63 time=5.80 ms
1729950903.052237263: 64 bytes from 192.168.6.21: icmp_seq=244 ttl=63 time=4.03 ms
1729950903.153563581: 64 bytes from 192.168.6.21: icmp_seq=245 ttl=63 time=4.74 ms
1729950903.254544103: 64 bytes from 192.168.6.21: icmp_seq=246 ttl=63 time=4.84 ms
1729950903.354380558: 64 bytes from 192.168.6.21: icmp_seq=247 ttl=63 time=4.22 ms
1729950903.456006903: 64 bytes from 192.168.6.21: icmp_seq=248 ttl=63 time=5.27 ms
1729950903.554928050: 64 bytes from 192.168.6.21: icmp_seq=249 ttl=63 time=3.77 ms
1729950903.656975193: 64 bytes from 192.168.6.21: icmp_seq=250 ttl=63 time=4.60 ms
1729950903.757512211: 64 bytes from 192.168.6.21: icmp_seq=251 ttl=63 time=4.29 ms
1729950903.858911749: 64 bytes from 192.168.6.21: icmp_seq=252 ttl=63 time=5.59 ms
1729950903.959669384: 64 bytes from 192.168.6.21: icmp_seq=253 ttl=63 time=4.90 ms
1729950904.058586762: 64 bytes from 192.168.6.21: icmp_seq=254 ttl=63 time=3.17 ms
1729950904.161864753: 64 bytes from 192.168.6.21: icmp_seq=255 ttl=63 time=5.70 ms
1729950904.262282776: 64 bytes from 192.168.6.21: icmp_seq=256 ttl=63 time=4.99 ms
1729950904.371006557: 64 bytes from 192.168.6.21: icmp_seq=257 ttl=63 time=13.4 ms
1729950904.466332728: 64 bytes from 192.168.6.21: icmp_seq=258 ttl=63 time=8.26 ms
1729950904.567733874: 64 bytes from 192.168.6.21: icmp_seq=259 ttl=63 time=9.51 ms
1729950904.671089023: 64 bytes from 192.168.6.21: icmp_seq=260 ttl=63 time=11.7 ms
1729950904.769734481: 64 bytes from 192.168.6.21: icmp_seq=261 ttl=63 time=9.19 ms
1729950904.875863023: 64 bytes from 192.168.6.21: icmp_seq=262 ttl=63 time=15.0 ms
1729950904.973446204: 64 bytes from 192.168.6.21: icmp_seq=263 ttl=63 time=12.5 ms
1729950905.074713179: 64 bytes from 192.168.6.21: icmp_seq=264 ttl=63 time=13.1 ms
1729950905.177530380: 64 bytes from 192.168.6.21: icmp_seq=265 ttl=63 time=14.5 ms
1729950905.282289721: 64 bytes from 192.168.6.21: icmp_seq=266 ttl=63 time=18.8 ms
1729950905.380413501: 64 bytes from 192.168.6.21: icmp_seq=267 ttl=63 time=15.7 ms
1729950905.479860977: 64 bytes from 192.168.6.21: icmp_seq=268 ttl=63 time=13.8 ms
1729950905.579005449: 64 bytes from 192.168.6.21: icmp_seq=269 ttl=63 time=12.2 ms
1729950905.679609112: 64 bytes from 192.168.6.21: icmp_seq=270 ttl=63 time=12.1 ms
1729950905.781097987: 64 bytes from 192.168.6.21: icmp_seq=271 ttl=63 time=13.1 ms
1729950905.880372051: 64 bytes from 192.168.6.21: icmp_seq=272 ttl=63 time=12.0 ms
1729950905.980389881: 64 bytes from 192.168.6.21: icmp_seq=273 ttl=63 time=11.7 ms
1729950906.081179423: 64 bytes from 192.168.6.21: icmp_seq=274 ttl=63 time=11.6 ms
1729950906.182593206: 64 bytes from 192.168.6.21: icmp_seq=275 ttl=63 time=12.0 ms
1729950906.285175830: 64 bytes from 192.168.6.21: icmp_seq=276 ttl=63 time=13.9 ms
1729950906.385619281: 64 bytes from 192.168.6.21: icmp_seq=277 ttl=63 time=14.3 ms
1729950906.482213827: 64 bytes from 192.168.6.21: icmp_seq=278 ttl=63 time=10.8 ms
1729950906.584917146: 64 bytes from 192.168.6.21: icmp_seq=279 ttl=63 time=12.2 ms
1729950906.683678144: 64 bytes from 192.168.6.21: icmp_seq=280 ttl=63 time=10.5 ms
1729950906.786028533: 64 bytes from 192.168.6.21: icmp_seq=281 ttl=63 time=12.0 ms
